Direktori,label
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-0.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-10.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-100.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1000.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1001.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1002.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1003.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1004.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1005.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1006.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1007.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1008.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1009.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-101.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1010.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1011.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1012.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1013.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1014.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1015.jpg,Anthias anthias
